category,IMT,LeanIMT
1,1.9000000059604645,0.09999999403953552
2,1.9000000059604645,0.09999999403953552
3,1.9000000059604645,0.09999999403953552
4,1.9000000059604645,0.09999999403953552
5,1.9000000059604645,0.09999999403953552
6,1.9000000059604645,0.19999998807907104
7,1.9000000059604645,0.19999998807907104
8,2,0.19999998807907104
9,2,0.19999998807907104
10,2,0.19999998807907104
11,2,0.19999998807907104
12,2,0.19999998807907104
13,2,0.20000001788139343
14,2,0.20000001788139343
15,2,0.20000001788139343
16,2,0.20000001788139343
17,2,0.20000001788139343
18,2,0.20000001788139343
19,2,0.20000001788139343
20,2,0.29999998211860657
21,2,0.29999998211860657
22,2,0.29999998211860657
23,2,0.29999998211860657
24,2,0.30000001192092896
25,2,0.30000001192092896
26,2,0.30000001192092896
27,2,0.30000001192092896
28,2,0.30000001192092896
29,2.0999999940395355,0.30000001192092896
30,2.0999999940395355,0.30000001192092896
31,2.0999999940395355,0.30000001192092896
32,2.0999999940395355,0.30000001192092896
33,2.0999999940395355,0.3999999761581421
34,2.0999999940395355,0.3999999761581421
35,2.0999999940395355,0.3999999761581421
36,2.0999999940395355,0.3999999761581421
37,2.0999999940395355,0.3999999761581421
38,2.0999999940395355,0.3999999761581421
39,2.0999999940395355,0.3999999761581421
40,2.0999999940395355,0.3999999761581421
41,2.0999999940395355,0.4000000059604645
42,2.0999999940395355,0.4000000059604645
43,2.0999999940395355,0.4000000059604645
44,2.0999999940395355,0.4000000059604645
45,2.0999999940395355,0.4000000059604645
46,2.0999999940395355,0.4000000059604645
47,2.0999999940395355,0.4000000059604645
48,2.0999999940395355,0.4000000059604645
49,2.0999999940395355,0.4000000059604645
50,2.100000023841858,0.4000000059604645
51,2.199999988079071,0.4000000059604645
52,2.199999988079071,0.4000000059604645
53,2.199999988079071,0.4000000059604645
54,2.199999988079071,0.4000000059604645
55,2.199999988079071,0.4000000059604645
56,2.199999988079071,0.4000000059604645
57,2.199999988079071,0.4000000059604645
58,2.199999988079071,0.5
59,2.199999988079071,0.5
60,2.199999988079071,0.5
61,2.199999988079071,0.5
62,2.199999988079071,0.5
63,2.199999988079071,0.5
64,2.199999988079071,0.5
65,2.199999988079071,0.5
66,2.199999988079071,0.5
67,2.199999988079071,0.5
68,2.199999988079071,0.5
69,2.199999988079071,0.5
70,2.199999988079071,0.5
71,2.199999988079071,0.5
72,2.199999988079071,0.5
73,2.2000000178813934,0.5
74,2.2000000178813934,0.5
75,2.2000000178813934,0.5
76,2.2000000178813934,0.5
77,2.2000000178813934,0.5
78,2.2000000178813934,0.5
79,2.2000000178813934,0.5
80,2.2000000178813934,0.5
81,2.2000000178813934,0.5
82,2.2000000178813934,0.5
83,2.2000000178813934,0.5999999940395355
84,2.2000000178813934,0.5999999940395355
85,2.2999999821186066,0.5999999940395355
86,2.2999999821186066,0.5999999940395355
87,2.2999999821186066,0.6000000238418579
88,2.300000011920929,0.6000000238418579
89,2.300000011920929,0.699999988079071
90,2.300000011920929,0.699999988079071
91,2.300000011920929,0.699999988079071
92,2.300000011920929,0.699999988079071
93,2.300000011920929,0.7000000178813934
94,2.300000011920929,0.7000000178813934
95,2.300000011920929,0.7000000178813934
96,2.300000011920929,0.7000000178813934
97,2.300000011920929,0.7000000178813934
98,2.4000000059604645,0.7999999821186066
99,2.4000000059604645,0.7999999821186066
100,2.5,0.800000011920929
