Members,IMT,LeanIMT
1,0.22529208660125732,0.04566597938537598
101,0.9502921104431152,0.4044160842895508
201,1.1192079782485962,0.5355830192565918
301,1.2259581089019775,0.5447499752044678
401,1.2502501010894775,0.6698340177536011
501,1.348457932472229,0.678333044052124
601,1.3551669120788574,0.7110410928726196
701,1.3628339767456055,0.8102500438690186
801,1.3827499151229858,0.8326659202575684
901,1.4448330402374268,0.9489580392837524
